,_ID,TimeSt,Country,Province,City,Latitude,Longitude,distance_nearest,nearest_poi
4457,4739943,2017-06-21 21:14:37.880,CA,AB,Edmonton,53.5314,-113.582,0.09739202762545526,POI1
4458,4739984,2017-06-21 04:14:34.897,CA,ON,Sault Sainte Marie,46.5119,-84.3028,10.782346475958613,POI3
4459,4740079,2017-06-21 15:14:34.930,CA,ON,Kingston,44.2377,-76.5602,3.2578464659982025,POI3
4460,4740082,2017-06-21 13:14:35.763,CA,AB,Calgary,50.9652,-114.047,2.6412894914880107,POI1
4464,4740270,2017-06-21 09:14:37.610,CA,MB,Winnipeg,49.824529999999996,-97.15191,16.752444252190344,POI1
4466,4740375,2017-06-21 10:14:39.447,CA,AB,Calgary,51.0823,-113.9578,2.508682303928705,POI1
4467,4740376,2017-06-21 08:14:35.817,CA,AB,Edmonton,53.45946,-113.39348999999999,0.12659802283213115,POI1
4468,4740395,2017-06-21 15:14:36.480,CA,QC,Lasalle,45.4405,-73.6165,0.09554967931395618,POI3
4469,4740439,2017-06-21 11:14:37.253,CA,ON,Thunder Bay,48.3738,-89.2779,15.96865450977687,POI3
4470,4740530,2017-06-21 12:14:39.400,CA,BC,Abbotsford,49.06945,-122.30481999999999,9.89026152199651,POI1
4471,4740571,2017-06-21 00:14:39.700,CA,AB,Sherwood Park,53.52288000000001,-113.33161000000001,0.1558733195418593,POI1
4472,4740630,2017-06-21 06:14:35.627,CA,AB,Calgary,51.04712,-114.05243999999999,2.5624971411974298,POI1
4473,4740728,2017-06-21 18:14:37.117,CA,QC,Saint-Laurent,45.5178,-73.6848,0.11883770200150805,POI3
4474,4740777,2017-06-21 13:14:38.037,CA,ON,Windsor,42.306309999999996,-83.07871,10.041387912353404,POI3
4475,4740790,2017-06-21 18:14:40.550,CA,AB,Edmonton,53.6585,-113.3614,0.16756385781247535,POI1
4476,4740833,2017-06-21 12:14:37.160,CA,ON,Pickering,43.8509,-79.0717,5.753590497108485,POI3
4477,4740882,2017-06-21 19:14:39.940,CA,ON,Richmond Hill,43.87604,-79.4195,6.08039015520361,POI3
4478,4740964,2017-06-21 16:14:41.310,CA,AB,Calgary,50.95738,-114.22057,2.6910596571360137,POI1
4479,4741027,2017-06-21 03:14:39.953,CA,AB,Calgary,51.0494,-113.9564,2.540742398560905,POI1
4480,4741105,2017-06-21 16:14:40.547,CA,AB,Edmonton,53.6585,-113.3614,0.16756385781247535,POI1
4481,4741139,2017-06-21 12:14:40.553,CA,AB,Wetaskiwin,52.8333,-113.45,0.7137620601047693,POI1
4482,4741159,2017-06-21 06:14:41.387,CA,QC,Anjou,45.5972,-73.5673,0.07558177172440823,POI3
4483,4741248,2017-06-21 19:14:43.583,CA,AB,Calgary,51.053,-114.161,2.582995520833326,POI1
4484,4741293,2017-06-21 15:14:44.120,CA,QC,Nicolet,46.2329,-72.6137,1.1886241779540803,POI3
4488,4741565,2017-06-21 16:14:42.997,CA,AB,Edmonton,53.5314,-113.582,0.09739202762545526,POI1
4490,4741659,2017-06-21 04:14:44.080,CA,AB,Edmonton,53.44693,-113.43865,0.10984027141718836,POI1
4491,4741713,2017-06-21 16:14:40.910,CA,AB,Calgary,51.1387,-114.2015,2.5116166751407354,POI1
4492,4741805,2017-06-21 16:14:41.280,CA,AB,Edmonton,53.4564,-113.521,0.09644586587822127,POI1
4493,4741897,2017-06-21 22:14:42.310,CA,AB,Edmonton,53.57744,-113.54722,0.06898208988569743,POI1
4494,4741975,2017-06-21 21:14:43.660,CA,ON,Woodbridge,43.8069,-79.5978,6.270774853047834,POI3
4495,4741980,2017-06-21 10:14:44.250,CA,AB,Calgary,51.0242,-114.1004,2.5957911781661096,POI1
4496,4741998,2017-06-21 10:14:45.007,CA,QC,Saint-Hyacinthe,45.62162,-72.95895,0.615253640019299,POI3
4497,4742002,2017-06-21 12:14:43.010,CA,AB,Airdrie,51.30254,-114.03939,2.3109299170388105,POI1
4498,4742013,2017-06-21 16:14:43.737,CA,ON,Woodbridge,43.8069,-79.5978,6.270774853047834,POI3
4499,4742051,2017-06-21 02:14:44.407,CA,ON,Ottawa,45.4019,-75.7513,2.1885534559651516,POI3
4500,4742113,2017-06-21 02:14:44.730,CA,ON,Mississauga,43.6046,-79.6729,6.400697982737273,POI3
4501,4742193,2017-06-21 01:14:46.967,CA,SK,Regina,50.44721,-104.6348,9.377769839370403,POI1
4502,4742232,2017-06-21 17:14:44.107,CA,BC,Vancouver,49.26125,-123.16546000000001,10.585726670000748,POI1
4503,4742259,2017-06-21 02:14:44.587,CA,BC,Abbotsford,49.05617,-122.38406,9.966959348882936,POI1
4504,4742267,2017-06-21 15:14:46.857,CA,AB,Edmonton,53.56352,-113.54704,0.06371461563093854,POI1
4505,4742334,2017-06-21 02:14:47.827,CA,ON,Richmond Hill,43.8812,-79.3891,6.0497290357351545,POI3
4506,4742404,2017-06-21 11:14:48.077,CA,ON,Richmond Hill,43.8812,-79.3891,6.0497290357351545,POI3
4507,4742432,2017-06-21 12:14:48.350,CA,AB,Sylvan Lake,52.3124,-114.1131,1.3841131125182695,POI1
4508,4742439,2017-06-21 10:14:47.827,CA,AB,Edmonton,53.5955,-113.44,0.06727067448004852,POI1
4509,4742525,2017-06-21 14:14:47.860,CA,AB,Eckville,52.3416,-114.366,1.4919282450054345,POI1
4511,4742640,2017-06-21 04:14:48.050,CA,SK,Saskatoon,52.15082,-106.64645,6.98017183764591,POI1
4513,4742752,2017-06-21 10:14:48.157,CA,ON,London,43.05876,-81.44291,8.252942309755774,POI3
4514,4742795,2017-06-21 17:14:48.240,CA,ON,Etobicoke,43.637809999999995,-79.5408,6.2647204466709505,POI3
4515,4742807,2017-06-21 03:14:50.033,CA,ON,Toronto,43.6827,-79.373,6.091192833232015,POI3
4516,4742829,2017-06-21 06:14:47.907,CA,SK,Saskatoon,52.1529,-106.686,6.94100680046094,POI1
4517,4742833,2017-06-21 22:14:45.613,CA,QC,Hampstead,45.482,-73.6374,0.08163939623123107,POI3
4518,4742916,2017-06-21 03:14:46.813,CA,AB,Edmonton,53.538709999999995,-113.51924,0.03432577581059704,POI1
4519,4742938,2017-06-21 05:14:48.080,CA,QC,Montréal,45.4934,-73.5837,0.0333064170543693,POI3
4521,4743062,2017-06-21 01:14:47.830,CA,SK,Saskatoon,52.1244,-106.634,6.997691062703834,POI1
4523,4743248,2017-06-21 11:14:47.890,CA,AB,Red Deer,52.2651,-113.794,1.3176344657168815,POI1
4525,4743290,2017-06-21 02:14:50.873,CA,ON,Pembroke,45.85652,-77.2317,3.6809417978089574,POI3
